variation;year;Infant;Hump;Senescent
5;1988;0,949200663;0,799523119;32,5655304
5;1989;0,846707342;1,084950671;33,03753854
5;1990;0,983735585;1,111771342;31,88702579
5;1991;0,885340303;1,317398017;32,51961642
5;1992;0,785725362;1,37116221;30,32811854
5;1993;0,845600456;0,752364472;31,44004937
5;1994;0,632756824;1,683792037;31,9212988
5;1995;0,60616779;1,908599262;30,86359532
5;1996;0,668046104;0,860214424;29,71856027
5;1997;0,641279404;0,877821541;30,19970136
5;1998;0,588595957;0,660885652;31,38633187
5;1999;0,61268329;0,607793793;30,20515958
5;2000;0,586943586;0,559463674;29,91792463
5;2001;0,637701859;0,557171071;30,2708686
5;2002;0,593263928;0,56773919;30,33382795
5;2003;0,582107753;0,501104254;29,25269748
5;2004;0,579807893;0,548206818;28,71941022
5;2005;0,505346173;0,566071127;30,54339579
5;2006;0,530145551;0,537239891;30,31730528
5;2007;0,529815422;0,574934698;29,11958646
5;2008;0,519146808;0,589633993;29,66088654
5;2009;0,521882753;0,560903989;27,85807394
5;2010;0,422815066;0,626925143;28,78727559
5;2011;0,433269949;0,536318306;28,64698295
5;2012;0,484105377;0,407281996;27,5786026
5;2013;0,461545886;0,60588389;27,44474909
5;2014;0,446634818;0,443267148;28,43743377
5;2015;0,478915076;0,392729275;27,31903113
5;2016;0,395981805;0,717517031;25,53611796
5;2017;0,473298309;0,511067044;28,06485829
10;1960;3,151789103;0,911109105;33,53374466
10;1961;3,019095004;1,127595456;59,27702364
10;1962;3,007988765;0,959117962;35,45547214
10;1963;2,923757948;0,776392961;37,48341462
10;1964;2,440755105;0,709199634;36,09655468
10;1965;2,224633144;0,703389021;35,87065719
10;1966;2,250305627;0,945207107;37,43789699
10;1967;2,078400933;0,804390113;37,19661398
10;1968;1,97543116;0,63073721;38,56926088
10;1969;1,961455842;0,625044678;39,55956644
10;1970;1,813370962;0,592273803;163,7986007
10;1971;1,697436989;0,614548936;35,24062055
10;1972;1,624042146;0,566686446;39,34427761
10;1973;1,555496974;0,619007135;35,02976555
10;1974;1,555863508;0,618211885;35,51915111
10;1975;1,339545189;0,56705468;36,31441388
10;1976;1,292750316;0,708739133;37,42157333
10;1977;1,259001154;0,692955779;35,32963402
10;1978;1,253344815;0,710036167;37,09544511
10;1979;1,071781215;0,726782435;35,43908302
10;1980;1,139269693;0,823535524;36,47060248
10;1981;1,064624909;0,722585775;35,71647666
10;1982;1,019534026;0,799156282;37,26166502
10;1983;1,000147447;0,875199998;35,27136919
10;1984;0,935682195;0,970344217;36,66718997
10;1985;0,910662867;0,958156313;36,12210559
10;1986;0,850109184;0,830640765;36,53793876
10;1987;0,849320634;0,932884062;35,38906577
10;1988;0,949200663;0,799523119;35,20594795
10;1989;0,846707342;1,084950671;35,44808727
10;1990;0,983735585;1,111771342;34,66114016
10;1991;0,885340303;1,317398017;34,67282349
10;1992;0,785725362;1,37116221;32,6639909
10;1993;0,845600456;0,752364472;34,30246382
10;1994;0,632756824;1,683792037;33,72998793
10;1995;0,60616779;1,908599262;33,03366841
10;1996;0,668046104;0,860214424;31,88208974
10;1997;0,641279404;0,877821541;32,63080634
10;1998;0,588595957;0,660885652;33,86174046
10;1999;0,61268329;0,607793793;32,7458818
10;2000;0,586943586;0,559463674;32,35125209
10;2001;0,637701859;0,557171071;32,88755218
10;2002;0,593263928;0,56773919;32,93700016
10;2003;0,582107753;0,501104254;31,78526977
10;2004;0,579807893;0,548206818;30,5018067
10;2005;0,505346173;0,566071127;32,86322535
10;2006;0,530145551;0,537239891;32,45736056
10;2007;0,529815422;0,574934698;31,56839466
10;2008;0,519146808;0,589633993;31,89007656
10;2009;0,521882753;0,560903989;29,90421583
10;2010;0,422815066;0,626925143;31,16157356
10;2011;0,433269949;0,536318306;30,91130119
10;2012;0,484105377;0,407281996;30,14395657
10;2013;0,461545886;0,60588389;29,72094078
10;2014;0,446634818;0,443267148;30,4919812
10;2015;0,478915076;0,392729275;29,5384349
10;2016;0,395981805;0,717517031;27,48177867
10;2017;0,473298309;0,511067044;30,23574093
100;1960;3,151789103;0,911109105;30,23574093
100;1961;3,019095004;1,127595456;30,23574093
100;1962;3,007988765;0,959117962;37,53284994
100;1963;2,923757948;0,776392961;38,25802445
100;1964;2,440755105;0,709199634;37,90207193
100;1965;2,224633144;0,703389021;37,90207193
100;1966;2,250305627;0,945207107;38,213529
100;1967;2,078400933;0,804390113;38,82902462
100;1968;1,97543116;0,63073721;39,42532384
100;1969;1,961455842;0,625044678;39,76418948
100;1970;1,813370962;0,592273803;39,76418948
100;1971;1,697436989;0,614548936;39,76418948
100;1972;1,624042146;0,566686446;39,4500362
100;1973;1,555496974;0,619007135;39,4500362
100;1974;1,555863508;0,618211885;39,4500362
100;1975;1,339545189;0,56705468;24,68675946
100;1976;1,292750316;0,708739133;39,09765174
100;1977;1,259001154;0,692955779;39,09765174
100;1978;1,253344815;0,710036167;38,44848928
100;1979;1,071781215;0,726782435;38,44848928
100;1980;1,139269693;0,823535524;38,1594459
100;1981;1,064624909;0,722585775;36,98685859
100;1982;1,019534026;0,799156282;37,87680952
100;1983;1,000147447;0,875199998;37,63724949
100;1984;0,935682195;0,970344217;37,21995062
100;1985;0,910662867;0,958156313;37,18853645
100;1986;0,850109184;0,830640765;37,31356562
100;1987;0,849320634;0,932884062;36,58181808
100;1988;0,949200663;0,799523119;36,41156837
100;1989;0,846707342;1,084950671;35,90292381
100;1990;0,983735585;1,111771342;35,32200614
100;1991;0,885340303;1,317398017;34,9564933
100;1992;0,785725362;1,37116221;34,58221241
100;1993;0,845600456;0,752364472;35,75163847
100;1994;0,632756824;1,683792037;33,90128078
100;1995;0,60616779;1,908599262;33,26166917
100;1996;0,668046104;0,860214424;33,26166917
100;1997;0,641279404;0,877821541;34,53491365
100;1998;0,588595957;0,660885652;34,9076213
100;1999;0,61268329;0,607793793;34,72329879
100;2000;0,586943586;0,559463674;34,37005104
100;2001;0,637701859;0,557171071;34,32450787
100;2002;0,593263928;0,56773919;34,10558904
100;2003;0,582107753;0,501104254;33,78921268
100;2004;0,579807893;0,548206818;33,78921268
100;2005;0,505346173;0,566071127;33,27087354
100;2006;0,530145551;0,537239891;32,84945295
100;2007;0,529815422;0,574934698;32,56251397
100;2008;0,519146808;0,589633993;32,35332318
100;2009;0,521882753;0,560903989;29,37446856
100;2010;0,422815066;0,626925143;32,03608683
100;2011;0,433269949;0,536318306;31,7681598
100;2012;0,484105377;0,407281996;31,84044251
100;2013;0,461545886;0,60588389;31,21317379
100;2014;0,446634818;0,443267148;31,0704555
100;2015;0,478915076;0,392729275;31,32331408
100;2016;0,395981805;0,717517031;31,32331408
100;2017;0,473298309;0,511067044;30,74541314
