"","1960","1965","1970","1975","1980","1985","1990"
"X23",0.000689777006289199,0.000686944810421394,0.000614127513961754,0.000618757182704721,0.000602272046534899,0.000546866165168877,0.000465212452563309
"X24",0.000722997412312107,0.00069116215794774,0.000584423317489279,0.000601897845469107,0.000584282173942997,0.000546644243077102,0.000474496195262421
"X25",0.000753589585609169,0.000691007113082024,0.000580658063710663,0.000592193613871614,0.000570201778084481,0.000547148504753971,0.000483621056732171
"X26",0.000785467902523958,0.000694252879561224,0.000599560387308631,0.000593054304258493,0.000564389638501464,0.000552145579231537,0.000495292249830031
"X27",0.0008208285936492,0.000706899587454421,0.000633267387390024,0.000604401269912286,0.000568290031314322,0.000562923400684096,0.000510665976788894
"X28",0.000860215265203769,0.000732283377671815,0.000675438516610454,0.00062497219193302,0.000581948041814746,0.000579433285190222,0.000529950495044716
"X29",0.000904214123579986,0.00077119482882052,0.000722659561650827,0.000653724230973578,0.000605033495418746,0.000601594240105821,0.000553342691541844
"X30",0.000953514777407426,0.000822609034081835,0.000773739108274265,0.00068977114109788,0.000636986356384963,0.000629305185227279,0.000581046086755584
"X31",0.00100892478801429,0.000884623646504212,0.000828655797979656,0.000732323836028848,0.000677129627692123,0.000662427601162567,0.000613264058169313
"X32",0.00107134155417261,0.000955425395175273,0.000887874022390168,0.000781054464766918,0.000724839218582318,0.000700850730310669,0.000650179661784929
"X33",0.00114172758495567,0.00103380828747967,0.000952071839579567,0.000836251093016809,0.000779637856971103,0.000744560315158821,0.000691945737979177
"X34",0.00122112782618827,0.00111913889991486,0.00102210864980957,0.000898521273305258,0.000841164645616611,0.000793595894805835,0.000738685008099444
"X35",0.00131065586918999,0.00121129806301425,0.00109903508772046,0.000968803073514824,0.000909182149795584,0.000848037769266819,0.00079047646282212
"X36",0.00141145942899505,0.0013105782598203,0.00118411725249534,0.00104839777817335,0.000983575124863606,0.000908000929224642,0.000847345289732638
"X37",0.00152428312385256,0.00141770544849729,0.00127848069054084,0.00113852417765997,0.0010645330269041,0.00097373562971142,0.000909479327746991
"X38",0.00164922828979462,0.00153387659982683,0.0013828549602805,0.00123997349007684,0.00115268693256657,0.00104570821795358,0.000977391606748316
"X39",0.00178614858334807,0.00166066179171687,0.00149793615138329,0.00135354966615331,0.00124894103398483,0.00112451698417456,0.00105172247436722
"X40",0.00193464240871882,0.00180003771055581,0.00162439795513507,0.00148008615249676,0.00135447871283337,0.00121090054693622,0.00113324332363223
"X41",0.00209403762904728,0.00195444807964701,0.00176287419192122,0.00162041946544393,0.00147079053924271,0.00130575878778415,0.00122287848867231
"X42",0.00226458424678301,0.00212584034070706,0.00191442742145735,0.00177526958934949,0.00159931690698237,0.00141020377009878,0.00132146275447866
"X43",0.00244866500559468,0.0023144609681957,0.00208112357932858,0.0019450893685591,0.00174101049404019,0.00152561120490358,0.00142944514851826
"X44",0.00264928185094141,0.00251991689180778,0.00226554753549059,0.00213009535523653,0.00189676855663824,0.0016536293970314,0.00154717943235135
"X45",0.00286990415880992,0.00274117770877714,0.00247083103324929,0.00233020666841501,0.00206746198687931,0.00179623645994579,0.00167494011688758
"X46",0.00311451603832777,0.00297643128948787,0.00270076724163178,0.00254496835230983,0.00225390370319712,0.00195581219009174,0.00181289867816836
"X47",0.00338574934842294,0.00322416994954069,0.00295810819217516,0.00277396968588112,0.00245661358943582,0.00213431844878503,0.00196130389135368
"X48",0.00368201831091265,0.00348523065069236,0.00324129977975209,0.00301766327240899,0.00267541607749981,0.002331723090503,0.00212082109324564
"X49",0.00400069338427761,0.00376115297690796,0.00354656314715937,0.00327670013501463,0.00290961999071755,0.00254705912616276,0.00229225446828658
"X50",0.0043386833674106,0.00405392754855138,0.00386792746852972,0.00355181787812887,0.00315797245047098,0.00277845432723407,0.00247650586746802
"X51",0.0046925679223625,0.00436606792438442,0.00419687192434594,0.00384385677084522,0.00341856526410827,0.00302293294065925,0.00267458818180045
"X52",0.00506023672761528,0.00470080419218664,0.0045257184271449,0.00415361570741592,0.0036897174608654,0.00327758004139097,0.00288757049476456
"X53",0.005444749748046,0.00506246015723165,0.00485658130733537,0.00448146120210494,0.00397233959690938,0.00354282756673481,0.00311641753557604
"X54",0.00585224470884267,0.00545642139859247,0.00519539389155682,0.00482759425977883,0.00426834706254107,0.00382029666575021,0.00336211311018574
"X55",0.00629150608995093,0.00588928506190093,0.00555034300681481,0.0051921151793258,0.00458027967736829,0.00411225304390205,0.00362569501898281
"X56",0.00677410390495792,0.00636911887996882,0.00593209187296292,0.00557501251882284,0.004911388006966,0.00442169578794107,0.00390825713773015
"X57",0.00731378621298244,0.00690455965655695,0.00635290145185037,0.00597759308882296,0.00526555014841637,0.00475238600649553,0.00421088120660105
"X58",0.00792355634024042,0.00750065812882629,0.00682268710181774,0.00640762525088009,0.00564672597952645,0.00510869638538622,0.00453438399019559
"X59",0.00861598651893407,0.00816125868685297,0.00735215246385567,0.00687664793795293,0.006059470309827,0.00549592679328609,0.00487944389834684
"X60",0.00940360595889722,0.00888987109111682,0.0079543856926324,0.00739923085439144,0.00650923483981608,0.00592056523072212,0.00524664059255004
"X61",0.0102990729076358,0.0096894531485969,0.00864549609898171,0.00799373666448527,0.00700253978429422,0.00639053705992902,0.00563643234116462
"X62",0.0113153426333843,0.0105643324509625,0.00944387216452187,0.00868136439876598,0.00754757857259929,0.00691510192537493,0.00605049924771931
"X63",0.0124650158779064,0.0115313970924772,0.0103628406902847,0.00947678744325246,0.00815650390555129,0.00750304490917507,0.00649869686792716
"X64",0.0137612131160245,0.0126165970229694,0.0114138923143561,0.0103929610820198,0.00884513564229882,0.0081638731338251,0.00699640448314246
"X65",0.0152183808267129,0.013853156270818,0.012608723263365,0.0114443509643297,0.00963317934943151,0.00890874889031779,0.00756318861181283
"X66",0.0168527408782594,0.015283722276933,0.0139587261594782,0.0126469083764745,0.0105453494321463,0.00975081691965652,0.00822405709962302
"X67",0.0186834217151284,0.0169593395997216,0.0154760993440184,0.0140185596356242,0.0116116424107207,0.0107059475135799,0.00900904845305002
"X68",0.0207384397961467,0.0189123813567378,0.017186581495259,0.0155834468483162,0.0128598375878005,0.0117958281482786,0.0099385753512876
"X69",0.0230547807025621,0.0211617990481479,0.0191278583959177,0.0173715566711614,0.0143185066819711,0.0130483930335173,0.0110279193367332
