"","1960","1965","1970","1975","1980","1985","1990"
"X44",0.00446393928329825,0.0048378923847821,0.00468360570713526,0.00484131208001899,0.00425057142724486,0.00385125916570164,0.00368878249361551
"X45",0.00492181413179484,0.00527254503104392,0.00509109471254792,0.0053474884781589,0.00475004190300823,0.00424181526462819,0.00398594557021986
"X46",0.00545292696725241,0.005751296544444,0.00553574394672324,0.00588248455792081,0.00529938612993149,0.00468066973185666,0.00431054259562066
"X47",0.00606402241234184,0.00627794109670329,0.00602311053816857,0.00644133073739253,0.00589436749135146,0.00517270757798506,0.00466454665022586
"X48",0.00675672143057254,0.00685824738278016,0.00655590016638726,0.00702512169207082,0.00653044091896759,0.00572077235374073,0.0050525945491356
"X49",0.00752923065294909,0.00749930723097571,0.00713620801503163,0.00763702828654965,0.00720110454705586,0.00632680786200063,0.00548030105650208
"X50",0.00837630599193246,0.00820964255356284,0.00776583369922488,0.008281703463293,0.00789735747050108,0.00699185304929236,0.00595413278721408
"X51",0.0092887277113661,0.00899953553363515,0.00844615526449636,0.00896550161803895,0.00860750369973045,0.00771575239670503,0.0064816557221585
"X52",0.0102573119375081,0.00987962700665663,0.00918013391510953,0.00969527436876035,0.00932203357462693,0.0084968307442062,0.00707026738467019
"X53",0.0112846573298582,0.0108565714530339,0.00997769401346719,0.0104749701872386,0.0100461363277698,0.0093315361000938,0.00772339516067022
"X54",0.0123788993650632,0.0119357147257682,0.0108525704932828,0.0113082040402202,0.0107917376173362,0.0102141389203095,0.00844293754992863
"X55",0.013552309442584,0.0131216115088069,0.0118219185632694,0.0121989925004054,0.0115755115568265,0.0111364466429808,0.00922976686832464
"X56",0.0148220087014101,0.014417663376563,0.0129071118454398,0.0131518067253466,0.0124194010304327,0.012087569398418,0.0100834708883758
"X57",0.0162058149275254,0.0158265748735909,0.0141306689279635,0.0141736157655451,0.0133465658876918,0.0130573229446719,0.0110023427657943
"X58",0.0177044385691444,0.0173531906539054,0.0155020031614561,0.0152811418500809,0.0143649375068203,0.0140490107347572,0.0119841011961966
"X59",0.019310249009174,0.0190027220158155,0.0170245437514706,0.0164975094337393,0.015477467690734,0.0150727237500105,0.0130251428785229
"X60",0.021010559446084,0.0207798735205174,0.0186980376143134,0.0178515716293961,0.0166860856442328,0.0161426549059164,0.0141200966907557
"X61",0.0227867589903736,0.0226886781397706,0.0205172509902857,0.0193793215595657,0.0179913467257465,0.0172775382366914,0.0152616203523144
"X62",0.0246200469746169,0.0247324396961794,0.0224742231910702,0.0211200125558755,0.0193949583619683,0.0184995646291521,0.0164427901981445
"X63",0.0265241199084708,0.0269141801902345,0.0245761442721939,0.0230880006920784,0.0209143466530314,0.0198265857818673,0.0176700801487709
"X64",0.0285320810381219,0.0292362372161725,0.0268383792826895,0.0252836602174582,0.0225768549554577,0.021276650554851,0.0189580706397362
"X65",0.0306876213184092,0.0316999247205535,0.0292794382534535,0.0276999612188487,0.0244163150741594,0.0228712746246585,0.0203259388178596
"X66",0.0330467703560491,0.034305375839582,0.0319215429460117,0.0303198891003384,0.0264745430494495,0.0246361476937871,0.0217981121067234
"X67",0.0356762932061626,0.0370548814653228,0.0347896613524596,0.0331201003823617,0.0287998750138485,0.0266014251136917,0.0234043346911427
"X68",0.0386265750731105,0.0399782139605444,0.0379001305954489,0.036115339886945,0.0314240589399613,0.0287984758970545,0.0251748392601809
"X69",0.0419420395422827,0.0431268598364608,0.0412635343661358,0.0393481057509679,0.0343689191035291,0.0312620494722891,0.027143345133754
"X70",0.0456740925551591,0.0465662991922694,0.0448888089948619,0.0428731790662852,0.0376550036616842,0.0340329531936033,0.0293508035660025
"X71",0.0498824077812321,0.0503788713459182,0.0487827672381934,0.0467600782512801,0.0413003613062966,0.0371592693901483,0.0318471668307184
"X72",0.0546339735187108,0.0546631519100753,0.0529528247763357,0.0510916614883743,0.0453209035385343,0.0406969222821441,0.0346916492151289
"X73",0.0599789617363423,0.0594901212064227,0.0574409292834623,0.055917607268475,0.0497490232016709,0.0447017116503516,0.0379340470086405
"X74",0.065951034903142,0.0649094082715246,0.0623221773177629,0.0612578856471665,0.0546324764548524,0.049230821517792,0.0416174280674582
"X75",0.0725762514660215,0.0709722599493371,0.067691501557291,0.0671240406506494,0.0600258172334802,0.054347774787262,0.0457881075356621
"X76",0.0798695121819581,0.0777308172442661,0.0736678094259535,0.0735164533684398,0.0659913060392707,0.0601228609769422,0.0504952997459831
"X77",0.0878339457676251,0.0852373490800813,0.0803948301349082,0.0804247399744867,0.0725986572802022,0.0666322786021202,0.0557912445337714
"X78",0.0965145706038112,0.0935523720201256,0.0879697555804534,0.0878842272180474,0.0799029934754518,0.0739398714600288,0.0617440628027078
"X79",0.10600765342213,0.102744967803448,0.0964336437089422,0.0959851343438866,0.0879402134060517,0.082091315329121,0.068440567023694
"X80",0.11643024485509,0.112886197158603,0.105813369407466,0.104840869948696,0.0967379179379546,0.091119953816551,0.0759798498916572
"X81",0.12792319077903,0.124047858987792,0.116117058748536,0.114591596806027,0.106312772126805,0.101041730550393,0.0844747469678007
"X82",0.140652994435409,0.136300792063082,0.127329045275742,0.12540649900465,0.116668888733451,0.111851212410227,0.0940521322348719
