"","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882"
"X11",0.00905437034962583,0.0103671138233884,0.0109938929654326,0.0117680446208334,0.0106322982270413,0.0104279982468917,0.0108810147967438,0.0101173251146259,0.0105237932521224,0.011138691952615,0.0116820337386468,0.0103400229732394,0.0115670572359134,0.0101655970391784,0.010187568221464,0.0105636812607698,0.0119452546851733,0.0108051272052613,0.0129279640217994,0.0103294938246456,0.00876156673021931,0.00970636151585858,0.0103829873147287,0.00982723820141319,0.0100344122067449,0.0101977502186166,0.00992260951246374,0.010100767454178,0.00888656953673238,0.00875989088935083,0.00972339415328484,0.00939856003611039,0.00955387738419078,0.0120649772486177,0.00841833120974487,0.00910369944719046,0.00925987429442833,0.0085769883872955,0.0112795085115814,0.0104770499577205,0.00975397597913901,0.00982719765979643,0.00967801592996074,0.011937571966187,0.00837478796039881,0.00940166008666864,0.00835777355810483,0.00816136168313849,0.00784773195301181,0.00899287649326036,0.0086757479406088,0.00787167478452067,0.00854204879426756,0.00842800467287177,0.0104220702241194,0.0142958669673092,0.00755711964716382,0.00752488642382444,0.00669668854660233,0.0070742137523195,0.00707609320217947,0.00673198050693704,0.00685595260868939,0.00656787501513751,0.00726957742810432,0.00731955917817735,0.00737624913592429
"X12",0.00881459253551091,0.0101042040415109,0.0107191284434247,0.011472315139243,0.0103655621373649,0.0101643105639641,0.0105994390540088,0.00985603341356811,0.0102500951249997,0.0108579064869843,0.0113929462051716,0.0100762387756592,0.011275693396324,0.00990680602016833,0.00993049284924077,0.0103013984948376,0.0116551746394162,0.0105354812127846,0.0126033388938051,0.0100712068023903,0.00853511121235708,0.0094605517736804,0.010123761502501,0.0095829573524709,0.00978979748090441,0.0099514486292627,0.00967406768025498,0.00985276833097626,0.00866191495162144,0.00854429069826318,0.00947893929704909,0.00916390221653739,0.00931399242486279,0.0117745818178427,0.00820653388522783,0.00887203933272265,0.00902396030176712,0.00835940747943017,0.0110012625877029,0.0102172757512009,0.00950911657309953,0.00957223522983182,0.0094269450921412,0.0116266105378967,0.00816312850932696,0.00915492524074858,0.00813788782269277,0.00793915569127682,0.00763390265745456,0.00875529136636803,0.00845421567265206,0.00765951359585485,0.00830851891748655,0.008200847457945,0.0101532270538812,0.0139531836238872,0.00734963218489481,0.00731744739174486,0.0065100445144558,0.00688234630319035,0.00688641109823405,0.00654569096809759,0.00666316051406128,0.00638435050754389,0.00707071423133741,0.00712275078157529,0.00717364868672446
"X13",0.00861736954816521,0.00988742486544984,0.0104922432617528,0.0112279604446023,0.0101452153455288,0.00994652398023276,0.0103670861113162,0.00964037025808791,0.0100241456740523,0.0106259037290417,0.011153968831798,0.00985863799673148,0.0110349897212255,0.00969353959487561,0.00971863171882586,0.0100848085170801,0.0114164227558767,0.0103130609313684,0.0123351336727929,0.00985835461500613,0.0083487022609505,0.00925802629069254,0.00990985461431559,0.009381385362733,0.00958783879708996,0.00974790621776089,0.0094691017755341,0.00964792883432269,0.0084767708245857,0.00836643061992929,0.00927724273200989,0.00897081350638032,0.00911643993708518,0.0115348732892289,0.00803194703047057,0.00868116722543719,0.00882958483894649,0.00818047991154443,0.0107721987420066,0.0100029812275645,0.00930717229868109,0.00936222707089759,0.00921994740211843,0.0113698482140115,0.00798876943073839,0.0089514460708876,0.00795713334786062,0.00775664569511074,0.00745827858589836,0.00856019369847671,0.00827179471965695,0.00748555191886178,0.00811678329711231,0.00801429180406984,0.00993234099553933,0.0136715136701949,0.00717918990432241,0.00714742172790424,0.00635671614344477,0.00672542588162315,0.00673193565290191,0.00639274513083351,0.00650481790902852,0.0062335657116836,0.0069084404229745,0.00696229274183526,0.00700686182020354
"X14",0.00845278188638737,0.00970592804027784,0.0103019044803209,0.0110227477329006,0.00996023607921985,0.00976372329080031,0.010172249039182,0.0094594734232154,0.00983453967932078,0.0104310593142224,0.0109531786759101,0.00967630554592169,0.0108328913102148,0.00951512725571073,0.00954141138814343,0.00990310673818371,0.0112173420789634,0.0101267812651354,0.0121099238346094,0.00968036447449646,0.00819302375798803,0.00908870437275297,0.00973060564236025,0.00921248808518615,0.00941852906537629,0.00957704297842833,0.00929750273583353,0.00947606615924666,0.00832191025768251,0.00821748648447763,0.00910824728131238,0.00880976628782886,0.00895141372983501,0.011334040174528,0.0078858777153111,0.00852154545767122,0.00866703428861752,0.00803134132159568,0.010581049624391,0.00982353386467329,0.00913807836094869,0.00918661198089797,0.00904659575378897,0.0111543162714092,0.0078430106193138,0.00878093752957343,0.00780641612623956,0.00760458523518012,0.00731198959366725,0.00839782493427231,0.00811943274768789,0.00734115427485313,0.00795721794301511,0.00785899354757,0.00974852385587433,0.0134374840428907,0.00703716333173093,0.00700628189754365,0.00622891954451176,0.00659570454854221,0.00660523660579856,0.00626539846358206,0.00637284747562037,0.00610790249715271,0.00677478495170818,0.00683038850995138,0.00686751546741393
"X15",0.00831420233031663,0.00955212364835845,0.0101401408504803,0.0108480497842205,0.0098028594108759,0.00960822004497512,0.0100066977367893,0.00930570201445316,0.00967324439895475,0.0102651738525615,0.0107821587051151,0.00952159079567069,0.010660901044638,0.00936413129078397,0.00939146118659219,0.00974870714503336,0.0110499763588256,0.00996889078499876,0.0119182438607064,0.00952991203956667,0.00806173317991294,0.00894571719698575,0.00957857936989985,0.00906930727824956,0.00927494656180657,0.00943186859422018,0.00915227127957461,0.00933009054461876,0.00819110506970891,0.00809141649526571,0.0089651810246,0.0086745351740062,0.0088122266684766,0.0111638765711746,0.00776236468867945,0.00838653807152935,0.00852957727655304,0.00790622127762623,0.0104201893599773,0.00967192266399176,0.00899514636007119,0.00903815944443858,0.00889958387235873,0.0109708746025668,0.00771985692742374,0.00863618104603085,0.00767951254749916,0.00747667689128354,0.00718916089224859,0.0082616620028457,0.00799123233685426,0.00722105492356314,0.00782382380392362,0.00772898442237259,0.00959528557649564,0.013243394099254,0.00691789910353815,0.00688869637826165,0.00612171722552955,0.00648843157396269,0.00650204370299518,0.00615863221143204,0.00626194694190277,0.00600285103177473,0.00666482195065864,0.00672236261531718,0.00675073476882394
"X16",0.00819893246014073,0.0094206344074188,0.0100012070167709,0.0106976180582293,0.0096674722596538,0.00947445725013761,0.00986450512238447,0.00917355475547457,0.00953445229850981,0.0101223063545913,0.0106348051340353,0.0093890679456248,0.0105128700133706,0.00923543287174802,0.0092636485220408,0.00961638272473213,0.0109092229530726,0.00983398958743666,0.011753241167609,0.00940214232736199,0.00795114527971021,0.00882535914125172,0.00944886524463731,0.00894755899472484,0.00915325717598973,0.00930869103224058,0.00902995904775882,0.0092056454506869,0.00808165465013589,0.00798503881558826,0.0088454608875592,0.00856373160894366,0.00869547910475933,0.0110191056545794,0.00765798291878128,0.0082715711793878,0.00841275519817762,0.00780346323654033,0.0102860212639002,0.00954845612099987,0.00887734321012253,0.00891292908559484,0.00877371558942154,0.0108129316199709,0.00761574821801873,0.00851202511427948,0.00757275936810588,0.00736926751966921,0.0070873381710442,0.00814842817783167,0.00788515679894149,0.00712463692991589,0.00771596937885535,0.00762276793979304,0.00947688777437724,0.0130979737151264,0.00681992420688052,0.00679447178504674,0.00603494599365749,0.00640385175759586,0.00642355959029757,0.00607163047201458,0.00617076092589957,0.00591990170082041,0.00657760075218248,0.00663793822723321,0.00665808477260549
"X17",0.00811571765460648,0.00930807763006301,0.00988089050990858,0.0105668270202678,0.00954993483779051,0.00935835551290135,0.00974144665701772,0.00905922334507243,0.00941393160557264,0.00999805550066578,0.0105066000366488,0.0092752759800056,0.0103842530686542,0.00912693511795252,0.00915522579073836,0.00950481127273903,0.0107946232610724,0.00971953827918101,0.011609866229226,0.00929585395146001,0.00786235311702903,0.00873150218521577,0.0093411184108711,0.00884872756153915,0.00905935654717237,0.00921601991212754,0.00893949728376924,0.00910490023318205,0.00800142366224715,0.0079027263095527,0.00875987641776825,0.00849312662142384,0.00860843734658509,0.0109005019950972,0.00757478389156352,0.0081743985044051,0.00831522510742473,0.00773322466321517,0.0101896901298677,0.00949525991811221,0.00880956215636541,0.00881505898859716,0.0086657244724511,0.010676154365973,0.00753293179541413,0.00840525021053627,0.00748803581050747,0.00728414189686199,0.00701260440343984,0.00806192769881445,0.00780811969912659,0.00706190764496039,0.00764740461415495,0.0075501241442808,0.00944781404481105,0.0131059825756192,0.0067559067714535,0.00674068488520326,0.00598498179440907,0.00636042060767501,0.00639029211245446,0.00601902919213502,0.00611154506091759,0.00587982049082627,0.00652347031891325,0.00658940724239269,0.00660922524116822
"X18",0.00811023754249057,0.00921571565470177,0.00977620734725353,0.0104521929017488,0.00944720475574269,0.00925726038999142,0.00963601851239304,0.00896262130701269,0.00930923119274145,0.00988910146495702,0.0103942799615045,0.00918039329475955,0.010271640841848,0.00904689477875548,0.00906989487358984,0.00943019831702255,0.0107235381781124,0.00963271123025114,0.0114847408033055,0.00922132528302423,0.0078090448604869,0.00869261488607013,0.00927213198172354,0.00879468198632916,0.00904130135659192,0.00921991787899567,0.00894245562494346,0.00905544348325079,0.00799359156459887,0.00787461546769919,0.00876377767361732,0.00853632695510117,0.00860289566756649,0.0108333903065627,0.00753180815818356,0.00809897556887241,0.00824384488218472,0.00773991404258761,0.0102093995137109,0.00974669496088389,0.00892194458577258,0.00877524222297676,0.00857724035223653,0.0105635982422418,0.00749564090965779,0.00831815853226488,0.00744593695285965,0.00724007186396472,0.00699462159716422,0.00802587636469109,0.00778807228013296,0.00706544430460876,0.00766638704152261,0.00754814485576915,0.00973638225602444,0.0137694957638814,0.00678501774190266,0.00679623716577776,0.00603704408318757,0.00643519448834719,0.00648275725733606,0.00606664657051151,0.00614096382745864,0.00595285733467376,0.00654694908999624,0.00662508137151331,0.00666442493925614
"X19",0.0083079462610142,0.0091626070203464,0.00968722542639542,0.0103510739471935,0.00935844066350933,0.00917370491238889,0.00955956480029371,0.00890286119808417,0.00922401942392365,0.00979290594446477,0.0102969539036557,0.00911523110672824,0.0101725847327477,0.00904090492540413,0.00903354760426553,0.00947869273724615,0.0107753841432071,0.00961759965626858,0.0113804339318003,0.00922326134166717,0.00783262151417412,0.00879575038171858,0.00931262196014263,0.00886262613259993,0.00926916736640684,0.00955990479332538,0.00924513915944867,0.0091585962175971,0.00817860453657838,0.00799265001856053,0.00900765282652265,0.00888546705388531,0.00885189179745135,0.0109203983576477,0.00758793221696948,0.00806887408845367,0.00822673696339843,0.00793294449251996,0.0106178448775166,0.0110361029188977,0.00959594347701742,0.00888697008110857,0.00852947565097685,0.0105206519561711,0.00759024290475796,0.008277251552949,0.00751512461413421,0.00729706824969154,0.00710635076466947,0.00810567816848528,0.00788499367196359,0.00719801737984193,0.00786991243120026,0.0076945773983259,0.0108916132914172,0.0164723725892287,0.00706071445711852,0.00712300699006503,0.00633763219917278,0.00681571498455215,0.00689319812146053,0.00637743002138227,0.00640105918502081,0.00627979849268205,0.00676335615267077,0.00686272890850389,0.00693371782554482
"X20",0.00890571132376432,0.00921823877603465,0.00963386065456915,0.0102624040641364,0.00930122732411705,0.00913871176181913,0.00957526183102912,0.00897050145589308,0.00918695428169112,0.00970755737032697,0.0102246408856144,0.00911615542456647,0.0100871609568756,0.00923868745646483,0.00912441112587441,0.00989507434511878,0.0111547030413801,0.00980681585470506,0.0113342971627311,0.00941088339522947,0.00801091943198922,0.00919823533197848,0.00962824346289756,0.00920910266986374,0.0100734352255977,0.0107035500279395,0.0102251149268894,0.00962733207835294,0.00874194406906736,0.0084185931902236,0.00971623129860521,0.00980369967049857,0.00966759927443245,0.0113893393719708,0.00784961001070493,0.008150285947578,0.00832808066362781,0.00846568803301565,0.0119271588197778,0.0145278797990676,0.0114109855398276,0.0093150949371785,0.00859690870766414,0.0107424765012937,0.00799509751206292,0.00837768744259469,0.00782778683758564,0.00756818207285374,0.00744670645819534,0.00840963384495418,0.00816897865800264,0.00752646375808372,0.00835558939078579,0.00807384347965247,0.013510544972258,0.0230606229355994,0.00779402208641845,0.00791826322067842,0.0070421615273193,0.00773271890174873,0.00786327365787165,0.0071446185157653,0.00706768597908456,0.00699448673592786,0.00735284007112619,0.00747460589838138,0.00751120417024701
