"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"23",1,0.0434782608695652,2.75335310107039e-14,-7.54951656745106e-15,-6.32827124036339e-15,-4.0766001685455e-15,0.0233816870333981,0.491321682459988,0.466819417117097,0.0184772133895209,0,0,0,0,0,0,0,0,0,0,0,0,2.75335310107039e-14,-7.54951656745106e-15,-6.32827124036339e-15,-4.0766001685455e-15,0.0233816870333981,0.491321682459988,0.466819417117097,0.0184772133895209,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0.0416666666666667,-5.32907051820075e-15,-2.22044604925031e-15,-4.66293670342566e-15,-6.31439345255558e-15,0.00564403962277321,0.363834893819119,0.578927505258158,0.0515935612999526,0,0,0,0,0,0,0,0,0,0,0,0,-5.32907051820075e-15,-2.22044604925031e-15,-4.66293670342566e-15,-6.31439345255558e-15,0.00564403962277321,0.363834893819119,0.578927505258158,0.0515935612999526,0,0,0,0,0,0,0,0,0,0,0,0
"25",1,0.04,1.77635683940025e-14,-3.5527136788005e-15,-1.04360964314765e-14,-7.32747196252603e-15,0.000345047028170065,0.237478891979705,0.651458055348244,0.110718005643883,0,0,0,0,0,0,0,0,0,0,0,0,1.77635683940025e-14,-3.5527136788005e-15,-1.04360964314765e-14,-7.32747196252603e-15,0.000345047028170065,0.237478891979705,0.651458055348244,0.110718005643883,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,0.0384615384615385,1.4210854715202e-14,7.99360577730113e-15,-2.24265050974282e-14,-4.94049245958195e-15,4.07278513215106e-15,0.134653935263711,0.662118547918975,0.203173647390521,5.38694267916067e-05,0,0,0,0,0,0,0,0,0,0,0,1.4210854715202e-14,7.99360577730113e-15,-2.24265050974282e-14,-4.94049245958195e-15,4.07278513215106e-15,0.134653935263711,0.662118547918975,0.203173647390521,5.38694267916067e-05,0,0,0,0,0,0,0,0,0,0,0
"27",1,0.037037037037037,1.77635683940025e-15,5.32907051820075e-15,-2.28705943072782e-14,-1.16018306073329e-14,5.64392282909054e-15,0.0662570391478391,0.605871327769861,0.324780344663818,0.00309128841848159,0,0,0,0,0,0,0,0,0,0,0,1.77635683940025e-15,5.32907051820075e-15,-2.28705943072782e-14,-1.16018306073329e-14,5.64392282909054e-15,0.0662570391478391,0.605871327769861,0.324780344663818,0.00309128841848159,0,0,0,0,0,0,0,0,0,0,0
"28",1,0.0357142857142857,6.3948846218409e-14,-5.77315972805081e-14,4.44089209850063e-15,-1.77635683940025e-15,3.63598040564739e-15,0.0261298130683786,0.503261848761033,0.454302549547309,0.0163057886232797,0,0,0,0,0,0,0,0,0,0,0,6.3948846218409e-14,-5.77315972805081e-14,4.44089209850063e-15,-1.77635683940025e-15,3.63598040564739e-15,0.0261298130683786,0.503261848761033,0.454302549547309,0.0163057886232797,0,0,0,0,0,0,0,0,0,0,0
"29",1,0.0344827586206897,1.06581410364015e-13,-6.03961325396085e-14,-9.76996261670138e-15,-1.26565424807268e-14,2.87270207621759e-15,0.00673367834895183,0.376905846921619,0.569124526011866,0.0472359487175622,0,0,0,0,0,0,0,0,0,0,0,1.06581410364015e-13,-6.03961325396085e-14,-9.76996261670138e-15,-1.26565424807268e-14,2.87270207621759e-15,0.00673367834895183,0.376905846921619,0.569124526011866,0.0472359487175622,0,0,0,0,0,0,0,0,0,0,0
"30",1,0.0333333333333333,9.9475983006414e-14,-6.57252030578093e-14,-1.11022302462516e-14,-1.15463194561016e-14,5.73152636462737e-15,0.000530056313184868,0.249419058280749,0.646630538028361,0.103420347377706,0,0,0,0,0,0,0,0,0,0,0,9.9475983006414e-14,-6.57252030578093e-14,-1.11022302462516e-14,-1.15463194561016e-14,5.73152636462737e-15,0.000530056313184868,0.249419058280749,0.646630538028361,0.103420347377706,0,0,0,0,0,0,0,0,0,0,0
"31",1,0.032258064516129,1.03028696685215e-13,-6.92779167366098e-14,0,-1.99840144432528e-15,5.07927033766009e-15,4.46894582971369e-18,0.14333869200634,0.664322639859481,0.192319036418874,1.96317153030634e-05,0,0,0,0,0,0,0,0,0,0,1.03028696685215e-13,-6.92779167366098e-14,0,-1.99840144432528e-15,5.07927033766009e-15,4.46894582971369e-18,0.14333869200634,0.664322639859481,0.192319036418874,1.96317153030634e-05,0,0,0,0,0,0,0,0,0,0
"32",1,0.03125,1.06581410364015e-13,-7.28306304154103e-14,-1.15463194561016e-14,-2.66453525910038e-14,1.67643676718399e-14,-1.32879818259823e-15,0.0717002070596244,0.613955511077942,0.311890317449548,0.00245396441288293,0,0,0,0,0,0,0,0,0,0,1.06581410364015e-13,-7.28306304154103e-14,-1.15463194561016e-14,-2.66453525910038e-14,1.67643676718399e-14,-1.32879818259823e-15,0.0717002070596244,0.613955511077942,0.311890317449548,0.00245396441288293,0,0,0,0,0,0,0,0,0,0
