"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"11",1,0.0909090909090909,1.32619609738427e-14,-3.41300665851878e-15,0.0930863694958947,0.638272610082095,0.26772508311283,0.000915937309179723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32619609738427e-14,-3.41300665851878e-15,0.0930863694958947,0.638272610082095,0.26772508311283,0.000915937309179723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1,0.0833333333333333,1.46135274020631e-14,-4.96592462382326e-15,0.0411706910112499,0.553727450226534,0.396484006905338,0.00861785185687755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46135274020631e-14,-4.96592462382326e-15,0.0411706910112499,0.553727450226534,0.396484006905338,0.00861785185687755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1,0.0769230769230769,8.99280649946377e-15,-4.1152858573125e-15,0.0133784642910091,0.435258686327279,0.520719783492021,0.0306430658896905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99280649946377e-15,-4.1152858573125e-15,0.0133784642910091,0.435258686327279,0.520719783492021,0.0306430658896905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0.0714285714285714,9.5511706182938e-15,-2.44816916305374e-15,0.00217111065879574,0.30548205441346,0.617816676843748,0.0745301580839948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5511706182938e-15,-2.44816916305374e-15,0.00217111065879574,0.30548205441346,0.617816676843748,0.0745301580839948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,0.0666666666666667,2.00030964014886e-14,-8.45872850929741e-15,1.00514382367087e-05,0.187013290514205,0.665158950931392,0.147817707116167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00030964014886e-14,-8.45872850929741e-15,1.00514382367087e-05,0.187013290514205,0.665158950931392,0.147817707116167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,0.0625,1.49752172468043e-14,4.2532438074977e-15,-6.06282355549031e-15,0.0998949624704423,0.643990622008127,0.25547112347438,0.000643292047050784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49752172468043e-14,4.2532438074977e-15,-6.06282355549031e-15,0.0998949624704423,0.643990622008127,0.25547112347438,0.000643292047050784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1,0.0588235294117647,6.17561557447743e-15,6.97876543880038e-15,-6.71446701881804e-15,0.0451523169821554,0.564081688038539,0.383438496505869,0.00732749847343783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17561557447743e-15,6.97876543880038e-15,-6.71446701881804e-15,0.0451523169821554,0.564081688038539,0.383438496505869,0.00732749847343783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,0.0555555555555556,1.41941580017457e-14,3.56913934171366e-15,-8.99782262857741e-15,0.0152869811259121,0.447987576422343,0.509144295934444,0.0275811465173023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41941580017457e-14,3.56913934171366e-15,-8.99782262857741e-15,0.0152869811259121,0.447987576422343,0.509144295934444,0.0275811465173023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,0.0526315789473684,-1.2195106036117e-15,8.21451196994505e-15,-9.34185183636832e-15,0.00276037622533316,0.31832402318867,0.609972785730978,0.0689428148550206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2195106036117e-15,8.21451196994505e-15,-9.34185183636832e-15,0.00276037622533316,0.31832402318867,0.609972785730978,0.0689428148550206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,0.05,-9.03964403331514e-15,3.47963845237498e-15,-7.96927899105598e-15,3.39236040420991e-05,0.197706764366649,0.66330822986634,0.138951082162969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.03964403331514e-15,3.47963845237498e-15,-7.96927899105598e-15,3.39236040420991e-05,0.197706764366649,0.66330822986634,0.138951082162969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
